TransactionID,Items
1,"milk,apple,cheese,banana"
2,"milk,soda,banana,chicken,apple,bread,butter"
3,"milk,soda,chicken,eggs,butter"
4,"eggs,cheese"
5,"soda,apple,bread"
6,"soda,banana,chicken,bread,butter"
7,"eggs,rice,cheese,banana"
8,"milk,butter,chicken"
9,"eggs,soda,apple,bread"
10,"milk,apple"
11,"milk,rice,butter"
12,"milk,apple,banana,soda"
13,"eggs,rice,bread"
14,"soda,butter,chicken,bread"
15,"rice,apple"
16,"apple,cheese"
17,"soda,banana,cheese,rice,apple,butter"
18,"eggs,apple,butter,bread"
19,"milk,soda,butter"
20,"apple,bread"
21,"milk,cheese,banana,bread"
22,"milk,banana,chicken,eggs,bread"
23,"milk,chicken,cheese,rice,apple,butter"
24,"soda,banana,apple,bread,butter"
25,"milk,butter"
26,"milk,soda,apple,bread"
27,bread
28,"milk,butter"
29,"milk,butter,chicken"
30,"banana,chicken,cheese,rice,apple"
31,"milk,soda,banana,cheese,eggs,apple,bread"
32,"milk,bread"
33,"banana,chicken,rice,bread,butter"
34,"milk,chicken,eggs,apple,butter"
35,"milk,banana,chicken,cheese,apple,bread"
36,"milk,banana,cheese,bread,butter"
37,"rice,apple"
38,"milk,banana"
39,"soda,apple,bread"
40,"milk,butter,bread"
41,"milk,soda,banana,cheese,rice,apple"
42,"milk,butter,banana,bread"
43,"banana,cheese,eggs,apple,bread"
44,"rice,apple,butter,banana"
45,"rice,butter,banana"
46,"rice,milk,cheese,bread"
47,"rice,cheese"
48,"milk,soda,banana,cheese,bread,butter"
49,"milk,soda,banana,apple,butter"
50,"butter,banana"
51,"eggs,milk,banana"
52,"soda,cheese,eggs,apple,bread"
53,"milk,rice,banana,bread"
54,"apple,bread,soda"
55,"milk,soda"
56,"eggs,milk,banana"
57,"soda,cheese,eggs,rice,bread"
58,"milk,soda,apple,bread"
59,"milk,soda,banana,rice,bread,butter"
60,"eggs,milk,apple,banana"
61,"milk,banana,eggs,bread,butter"
62,"butter,banana,chicken"
63,"butter,bread"
64,"milk,soda,banana,rice,apple,bread"
65,"banana,cheese,eggs,rice,apple,bread"
66,"milk,banana,cheese,apple,bread"
67,"milk,banana,chicken,apple,butter"
68,"apple,cheese,banana"
69,"milk,soda,banana,eggs,bread,butter"
70,"milk,soda,banana,bread"
71,"milk,butter,banana,bread"
72,"butter,cheese"
73,"milk,chicken,cheese,eggs,bread,butter"
74,"milk,soda,cheese,eggs,apple,bread,butter"
75,"banana,chicken,cheese,eggs,butter"
76,"milk,banana,eggs,apple,bread,butter"
77,"soda,banana,eggs,bread,butter"
78,"milk,soda,banana,bread"
79,"banana,chicken,cheese,apple,bread"
80,"milk,soda,eggs,apple,bread,butter"
81,"milk,soda,banana,cheese,apple"
82,"rice,soda,cheese,chicken"
83,"milk,apple,butter,bread"
84,banana
85,"soda,bread,apple,chicken"
86,"soda,eggs,rice,apple,butter"
87,"eggs,milk,soda"
88,"banana,chicken"
89,"soda,butter,banana,bread"
90,"apple,banana"
91,"banana,cheese,apple,bread,butter"
92,"butter,chicken"
93,"eggs,milk,apple"
94,"milk,apple,butter,banana"
95,"eggs,bread"
96,"milk,soda,cheese,bread,butter"
97,"soda,apple,banana,chicken"
98,"milk,apple,banana"
99,"soda,banana,rice,apple,butter"
100,"rice,soda,cheese"
101,"soda,bread"
102,"milk,banana,bread"
103,"milk,soda,banana,apple,bread,butter"
104,"milk,soda,rice,apple,bread"
105,"milk,apple,banana"
106,rice
107,"milk,soda,apple,butter"
108,"soda,cheese,eggs,rice,apple,bread,butter"
109,"soda,apple,banana,bread"
110,"banana,chicken,eggs,apple,butter"
111,"milk,soda,banana,cheese,bread"
112,"soda,banana,chicken,bread,butter"
113,"apple,butter,banana,bread"
114,"milk,apple,butter,bread"
115,"bread,butter,chicken"
116,"milk,banana"
117,"milk,butter,rice,bread"
118,"eggs,bread"
119,"milk,soda,chicken,apple,bread"
120,"eggs,milk,banana,bread"
121,"milk,banana,chicken,rice,apple,bread"
122,"milk,soda,banana,cheese,apple,bread"
123,"soda,butter,banana,bread"
124,"eggs,milk,butter,banana"
125,"milk,soda,eggs,bread,butter"
126,"milk,banana,cheese,eggs,apple,bread,butter"
127,"eggs,soda,banana,bread"
128,"milk,rice,cheese,bread"
129,"milk,butter"
130,"banana,bread"
131,"butter,chicken"
132,"banana,chicken,cheese,eggs,apple,bread,butter"
133,"milk,soda,chicken,cheese,eggs"
134,"banana,bread"
135,"banana,chicken,eggs,rice,butter"
136,"apple,bread"
137,"milk,soda,chicken,apple,bread,butter"
138,"rice,banana,bread"
139,"banana,bread"
140,"milk,soda,cheese,apple,butter"
141,"rice,apple"
142,"soda,cheese"
143,"eggs,apple"
144,"milk,soda,banana,eggs,rice,apple,bread"
145,"banana,cheese,apple,bread,butter"
146,"rice,soda,apple"
147,"milk,butter,banana"
148,"rice,cheese"
149,"milk,soda,banana,chicken,bread,butter"
150,"rice,soda,butter"
151,"eggs,milk,apple,soda"
152,"milk,banana,chicken,eggs,bread"
153,"milk,cheese,rice,apple,bread"
154,"eggs,apple,butter"
155,"chicken,cheese,rice,bread,butter"
156,"eggs,milk,soda"
157,"rice,butter,milk,banana"
158,"milk,apple"
159,"rice,milk,banana"
160,"rice,soda,butter,bread"
161,"banana,cheese,apple,bread,butter"
162,"apple,butter,cheese,banana"
163,"eggs,milk,apple,bread"
164,"milk,soda,chicken,bread"
165,"banana,chicken,eggs,apple,bread"
166,"milk,banana,bread"
167,"milk,soda,banana,rice,bread"
168,"milk,rice,banana,bread"
169,"milk,banana,cheese,rice,apple,butter"
170,"eggs,apple,chicken"
171,"soda,banana,cheese,apple,butter"
172,"milk,apple,banana,chicken"
173,"eggs,milk,banana,bread"
174,"soda,banana,chicken,cheese,bread,butter"
175,"milk,soda,cheese,bread"
176,"milk,chicken"
177,"milk,soda,banana,eggs,apple"
178,butter
179,"milk,chicken,cheese,apple,bread,butter"
180,"milk,chicken,eggs,apple,butter"
181,"milk,soda,apple,bread,butter"
182,"eggs,apple,bread"
183,apple
184,"apple,butter,banana,soda"
185,"soda,banana,cheese,eggs,apple,bread,butter"
186,"eggs,chicken,bread"
187,"milk,banana,cheese,eggs,apple"
188,"milk,butter,banana"
189,"eggs,apple,bread"
190,"soda,banana,bread"
191,"apple,chicken,banana,bread"
192,"milk,cheese,banana,bread"
193,"banana,chicken"
194,"butter,cheese,banana"
195,"milk,banana"
196,"soda,banana,chicken,cheese,rice,bread,butter"
197,"milk,banana,chicken,cheese,eggs,bread"
198,"milk,soda,cheese,bread"
199,"eggs,banana"
200,"milk,banana,chicken,apple,bread"
